CategoryName,CategoryTypeName,Sequence
Most deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),2
Least deprived decile,Clinical Commissioning Groups deprivation deciles: 2021 geography (Index of Multiple Deprivation 2019),1
Most deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),10
Second most deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),9
Third more deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),8
Fourth more deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),7
Fifth more deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),6
Fifth less deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),5
Fourth less deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),4
Third less deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),3
Second least deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),2
Least deprived decile,LSOA11 deprivation deciles: (Index of Multiple Deprivation trend),1
Most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),10
Second most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),9
Third more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),8
Fourth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),7
Fifth more deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),6
Fifth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),5
Fourth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),4
Third less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),3
Second least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),2
Least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2019 geography (Index of Multiple Deprivation 2019),1
Second most deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),9
Fifth less deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),5
Second least deprived decile (IMD2019),Districts and Unitary Authorities deprivation deciles: Apr 2020 geography (Index of Multiple Deprivation 2019),2
Most deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),10
Second most deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),9
Third more deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),8
Fourth more deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),7
Fifth more deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),6
Fifth less deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),5
Fourth less deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),4
Third less deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),3
Second least deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),2
Least deprived decile (IMD2015),Counties and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),1
Most deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),10
Second most deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),9
Third more deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),8
Fourth more deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),7
Fifth more deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),6
Fifth less deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),5
Fourth less deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),4
Third less deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),3
Second least deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),2
Least deprived decile (IMD2015),Districts and Unitary Authorities deprivation deciles: before Apr 2019 geography (Index of Multiple Deprivation 2015),1
